!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:04:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
20000000,-73.152313,-56.474407
29900000,-77.879173,-6.2347426
39800000,-75.536423,1.2852135
49700000,-77.590279,-4.9200473
59600000,-78.989738,6.5912476
69500000,-81.77597,71.141342
79400000,-79.993652,68.943649
89300000,-80.930786,98.890625
99200000,-76.347458,113.87667
109100000,-72.495483,106.32626
119000000,-70.653427,105.02298
128900000,-69.18116,103.29756
138800000,-67.44429,106.57867
148700000,-66.74337,106.21137
158600000,-65.376411,102.8289
168500000,-64.828606,98.929726
178400000,-63.741573,102.24503
188300000,-62.884632,98.513504
198200000,-62.129162,99.813301
208100000,-61.673054,97.674248
218000000,-61.097492,96.82737
227900000,-60.458252,95.588745
237800000,-59.615662,93.882813
247700000,-59.007919,91.506783
257600000,-59.004749,92.399017
267500000,-58.143433,89.618744
277400000,-57.741005,87.787468
287300000,-57.902252,88.762779
297200000,-56.932014,87.116226
307100000,-56.628559,87.208046
317000000,-56.304043,84.262077
326900000,-55.862289,83.444992
336800000,-55.6395,82.826355
346700000,-55.297794,80.945572
356600000,-55.049339,79.749466
366500000,-54.680271,78.593323
376400000,-54.464397,77.733566
386300000,-54.093876,76.500931
396200000,-53.610683,75.336754
406100000,-53.460361,74.146667
416000000,-53.218124,74.103745
425900000,-53.078693,73.468185
435800000,-52.76387,72.074875
445700000,-52.545212,71.115891
455600000,-52.238483,70.998192
465500000,-52.06469,69.033752
475400000,-51.697536,68.005028
485300000,-51.537598,67.087341
495200000,-51.293133,66.277893
505100000,-51.118301,65.639824
515000000,-50.878296,65.068092
524900000,-50.628963,63.840454
534800000,-50.411964,62.520596
544700000,-50.184402,62.970055
554600000,-50.012684,61.337353
564500000,-49.737637,60.657635
574400000,-49.592304,59.640415
584300000,-49.322456,58.481236
594200000,-49.167774,57.575867
604100000,-48.854813,57.293884
614000000,-48.654778,57.11594
623900000,-48.502834,55.391979
633800000,-48.378345,54.771793
643700000,-48.193924,53.919525
653600000,-47.932507,53.169563
663500000,-47.759869,52.591545
673400000,-47.538914,51.578316
683300000,-47.382561,50.688313
693200000,-47.15551,49.809696
703100000,-46.945942,48.702904
713000000,-46.808926,48.547928
722900000,-46.590321,47.921982
732800000,-46.386963,46.644371
742700000,-46.180187,45.680061
752600000,-45.90382,45.41383
762500000,-45.77882,44.346779
772400000,-45.61367,43.119457
782300000,-45.401276,42.732628
792200000,-45.207287,41.637703
802100000,-45.019791,40.982155
812000000,-44.761925,39.98127
