!CSV A.01.01
!Agilent Technologies,N5241A,MY52411522,A.09.90.11
!Agilent N5241A: A.09.90.11
!Date: Sunday, March 11, 2018 12:04:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
821900000,-44.60334,38.882778
831800000,-44.389248,38.12328
841700000,-44.233162,37.072781
851600000,-44.048611,36.111591
861500000,-43.824604,35.233334
871400000,-43.661533,34.180771
881300000,-43.456688,33.270344
891200000,-43.245926,32.444977
901100000,-43.042656,31.312906
911000000,-42.865616,30.42848
920900000,-42.681278,29.439785
930800000,-42.524178,28.116879
940700000,-42.272884,27.474867
950600000,-42.069328,26.500679
960500000,-41.901524,25.379208
970400000,-41.704639,24.329187
980300000,-41.519638,23.225264
990200000,-41.343151,21.95154
1000100000,-41.169483,21.133762
1010000000,-40.964878,19.956217
1019900000,-40.795986,18.947775
1029800000,-40.596767,17.533989
1039700000,-40.449921,16.658213
1049600000,-40.265163,15.212015
1059500000,-40.079967,14.448695
1069400000,-39.865986,12.998569
1079300000,-39.701279,11.926967
1089200000,-39.530251,10.761392
1099100000,-39.335667,9.4193106
1109000000,-39.189579,8.2548132
1118900000,-39.032913,7.1877899
1128800000,-38.830002,5.9863663
1138700000,-38.673443,4.6784425
1148600000,-38.485485,3.3608942
1158500000,-38.305531,2.2906594
1168400000,-38.120224,0.79214233
1178300000,-37.995373,-0.21118811
1188200000,-37.820862,-1.5492121
1198100000,-37.651306,-2.9257691
1208000000,-37.482403,-4.1195469
1217900000,-37.303078,-5.4825001
1227800000,-37.156319,-6.7526727
1237700000,-36.992298,-7.9136248
1247600000,-36.82478,-9.2545805
1257500000,-36.65395,-10.613134
1267400000,-36.499138,-11.964473
1277300000,-36.352654,-13.241547
1287200000,-36.184059,-14.515443
1297100000,-36.040367,-15.8836
1307000000,-35.843693,-17.275225
1316900000,-35.706417,-18.589066
1326800000,-35.543186,-19.911575
1336700000,-35.369637,-21.23418
1346600000,-35.209198,-22.864304
1356500000,-35.034302,-24.262981
1366400000,-34.887825,-25.736097
1376300000,-34.751335,-27.27202
1386200000,-34.561115,-28.674572
1396100000,-34.417622,-30.259409
1406000000,-34.223309,-31.9314
1415900000,-34.107014,-33.369125
1425800000,-33.947525,-34.90369
1435700000,-33.784157,-36.530605
1445600000,-33.637184,-38.085808
1455500000,-33.483398,-39.795372
1465400000,-33.356319,-41.379726
1475300000,-33.16568,-43.078983
1485200000,-33.024845,-44.630497
1495100000,-32.859379,-46.436607
1505000000,-32.685646,-48.394077
1514900000,-32.524666,-50.079201
1524800000,-32.370773,-52.241493
1534700000,-32.180603,-54.184536
1544600000,-31.963257,-56.401344
1554500000,-31.754066,-59.05426
1564400000,-31.504673,-61.86832
1574300000,-31.233688,-65.76693
1584200000,-30.940359,-70.966988
1594100000,-30.78146,-79.430168
1604000000,-31.444149,-93.560356
1613900000,-35.328339,-103.49236
1623800000,-37.808754,-74.723907
1633700000,-35.755959,-61.706409
1643600000,-34.380592,-60.904839
1653500000,-33.564041,-62.409401
1663400000,-33.053295,-64.266518
1673300000,-32.649559,-66.076462
1683200000,-32.378078,-68.06572
1693100000,-32.123707,-70.030853
1703000000,-31.906654,-71.726074
1712900000,-31.725718,-73.492218
1722800000,-31.561773,-75.309738
1732700000,-31.409584,-77.017212
1742600000,-31.26849,-78.600861
1752500000,-31.136585,-80.302979
1762400000,-31.002747,-82.004051
1772300000,-30.888113,-83.670433
1782200000,-30.756472,-85.008492
1792100000,-30.68051,-86.82103
1802000000,-30.545193,-88.488075
1811900000,-30.428806,-90.089615
1821800000,-30.333836,-91.648323
1831700000,-30.245695,-93.169991
1841600000,-30.160311,-94.865051
1851500000,-30.071239,-96.540665
1861400000,-29.960339,-98.082405
1871300000,-29.855934,-99.579025
1881200000,-29.794489,-101.19888
1891100000,-29.723051,-102.94721
1901000000,-29.604376,-104.49539
1910900000,-29.521852,-106.05611
1920800000,-29.472836,-107.5723
1930700000,-29.388178,-109.37914
1940600000,-29.307642,-110.91626
1950500000,-29.238634,-112.71306
1960400000,-29.162426,-114.13934
1970300000,-29.103868,-115.8552
1980200000,-29.046875,-117.39165
1990100000,-29.003231,-119.02986
2000000000,-28.955965,-120.60418
END

